track,SDR,ISR,SIR,SAR
Al James - Schoolboy Facination,6.3414852274863796,11.328017199577873,inf,5.593318590881173
AM Contra - Heart Peripheral,9.810983571881875,17.09088027806682,inf,9.588624552668438
Angels In Amplifiers - I'm Alright,8.353343186619892,16.22376630028925,inf,8.067333913683271
Arise - Run Run Run,7.520655826925482,14.370006333207186,inf,6.896043893298711
Ben Carrigan - We'll Talk About It All Tonight,4.161627931661631,8.296678455759578,inf,3.4268346647009054
BKS - Bulldozer,6.979071693444949,13.08920175152246,inf,5.938441224078184
BKS - Too Much,9.560322158808054,19.869868317194626,inf,9.269297537550852
Bobby Nobody - Stitch Up,7.083539294818202,14.265872055987783,inf,6.346221480086529
Buitraker - Revo X,4.191129049051613,9.095307062181849,inf,2.571885762898032
Carlos Gonzalez - A Place For Us,6.344807532941151,12.580460590782355,inf,5.423343941457359
Cristina Vane - So Easy,9.232037110940439,17.068406069779723,inf,8.963112581453355
Detsky Sad - Walkie Talkie,7.544227312205669,16.78454024657969,inf,7.448097612508354
Enda Reilly - Cur An Long Ag Seol,8.361305197093067,13.794004694340146,inf,7.772642730134814
Forkupines - Semantics,7.019446667377524,13.348266485412806,inf,6.364710851034855
Georgia Wonder - Siren,4.4772732301571505,10.458500966952597,inf,3.197719171333715
Girls Under Glass - We Feel Alright,4.592445505361599,9.645941234135346,inf,3.7475762525228653
Hollow Ground - Ill Fate,6.385005296985318,13.641887243094445,inf,5.503507025494442
James Elder & Mark M Thompson - The English Actor,5.452434966520759,9.780701945468655,inf,5.186615053845244
Juliet's Rescue - Heartbeats,8.212604682001277,15.958286941950082,inf,7.904143363277071
Little Chicago's Finest - My Own,9.083644687253898,15.111929199747966,inf,8.608730159318728
Louis Cressy Band - Good Time,7.28110667800245,15.676925155363485,inf,6.699426210115869
Lyndsey Ollard - Catching Up,11.043162031251502,15.374471699816983,inf,10.818952588695065
M.E.R.C. Music - Knockout,8.684109121761484,18.618176001876655,inf,8.117138765213841
Moosmusic - Big Dummy Shake,9.54301686426028,18.35926392615633,inf,9.468145837789502
Motor Tapes - Shore,4.68507411829041,11.737460400502693,inf,4.662675580048591
Mu - Too Bright,7.582608272506707,18.077034556614322,inf,7.081465319554277
Nerve 9 - Pray For The Rain,9.062500940750198,13.392270439985584,inf,8.063510775141037
PR - Happy Daze,-0.0006273621383106447,0.11942642323687794,inf,-8.213085181395549
PR - Oh No,1.4367001969002844,2.625751478489545,inf,0.8444362526461844
Punkdisco - Oral Hygiene,4.069658312173615,13.957003226815727,inf,3.0715620948128155
Raft Monk - Tiring,4.51636929314023,9.405732352443204,inf,3.315375089921828
Sambasevam Shanmugam - Kaathaadi,11.223854576924781,18.025927563479605,inf,10.62423025945155
Secretariat - Borderline,5.705807417823639,12.360750300823522,inf,4.753712511233049
Secretariat - Over The Top,6.900268743463672,14.760553192571043,inf,6.721462151284989
Side Effects Project - Sing With Me,10.113291290298124,20.33144807978342,inf,9.959554803474855
Signe Jakobsen - What Have You Done To Me,8.814379233316835,16.14627996539579,inf,8.16940264667046
Skelpolu - Resurrection,0.8606679767881138,1.5067718490260538,inf,-1.117290027967731
Speak Softly - Broken Man,4.360503786954103,11.845149999322258,inf,3.961946505847405
Speak Softly - Like Horses,7.158464524714527,15.736727483268274,inf,6.603428530243852
The Doppler Shift - Atrophy,7.725500734394073,13.786873949744948,inf,7.427075017874081
The Easton Ellises (Baumi) - SDRNR,7.472011400167427,11.48654353406791,inf,6.2106263215750035
The Easton Ellises - Falcon 69,5.239928801396706,8.664466593666951,inf,3.914843494963829
The Long Wait - Dark Horses,7.206848324336205,14.741480790484893,inf,6.459141478716911
The Mountaineering Club - Mallory,10.252706107366405,21.375306677697136,inf,9.801196648696674
The Sunshine Garcia Band - For I Am The Moon,10.68935930186598,19.89095942930713,inf,10.609414478481778
Timboz - Pony,3.902465617744648,8.35199681566766,inf,2.4572628483865877
Tom McKenzie - Directions,9.284364676468076,14.344784936972934,inf,9.657109090006982
Triviul feat. The Fiend - Widow,8.425452144915157,19.231505840837308,inf,8.035312125834663
We Fell From The Sky - Not You,4.16942067295532,10.254758787311097,inf,3.143868907268436
Zeno - Signs,6.907452949916987,14.834726683718714,inf,6.060084470308258
sum,7.182656424525366,14.111437641401755,inf,6.531285004480381
